1,The Sun
2,The Solar System
3,Extrasolar Planets: Direct Imaging
55,Extrasolar Planets: Detection
4,Extrasolar Planets: Radial Velocities
5,Extrasolar Planets: Transits
6,Extrasolar Planets: Atmospheres
7,Extrasolar Planets: Formation of Planets and Protoplanetary Disks
8,Extrasolar Planets: Populations
9,"Stars, Cool Dwarfs, Brown Dwarfs"
10,"Stellar Evolution, Stellar Populations"
11,"Stellar Atmospheres, Winds"
12,Circumstellar Disks
13,Binary Stellar Systems
14,Pulsating Variable Stars
15,White Dwarfs
16,"Neutron Stars (Pulsars, Magnetars, Pulsar Wind Nebulae)"
17,Black Holes
18,"Cataclysmic Variables, Novae and Symbiotic Stars"
19,Supernovae
20,"Planetary Nebulae, Supernova Remnants"
21,"Molecular Clouds, HII Regions, Interstellar Medium"
22,Dust
23,Star Formation
24,"Young Stellar Objects, Very Young Stars, T-Tauri Stars, H-H Objects"
25,"Star Associations, Star Clusters: Galactic & Extra-galactic"
26,"The Milky Way, The Galactic Center"
27,Dwarf and Irregular Galaxies
28,Elliptical Galaxies
29,Spiral Galaxies
30,Starburst Galaxies
31,AGN and Quasars
32,Evolution of Galaxies
33,Galaxy Clusters
34,"Large Scale Structure, Cosmic Distance Scale"
39,"Relativistic Astrophysics, Gravitational Lenses & Waves"
35,"Intergalactic Medium, QSO Absorption Line Systems"
36,Cosmology
38,Dark Matter & Dark Energy
42,Gamma Ray Bursts
37,Cosmic Microwave Background
40,Strong and Weak Gravitational Lensing
41,Gravitational Waves and Multi-messenger Astronomy
43,Instrumentation: Space Missions
44,Instrumentation: Ground Based or Airborne
45,Catalogs
46,Surveys and Large Programs
47,"Computation, Data Handling, Image Analysis"
48,Astrobiology
49,Public Policy
50,"Observatory Site Protection, Light Pollution, Radio Interference, and Space Debris"
51,Education
52,History
53,Laboratory Astrophysics
54,Other
100,Public Outreach
101,Education Research
102,General Topics: Molecules
103,General Topics: Plasma
104,General Topics: Atoms
105,General Topics: Nuclear
106,General Topics: Dust & Ice
108,Practice Undergraduate Non-science Majors
107,General Topics: Particles
109,Practice Upper Level Undergraduate and Graduate
121,Variable Stars
200,Division Meeting Topics: Fundamental nuclear and atomic data for compact objects
300,SPD: Data and Computational Methods
301,SPD: Photosphere/Chromosphere
302,SPD: Magnetic Fields
303,SPD: Helioseismology and Solar Interior
304,SPD: Corona
305,SPD: Eruptions
306,SPD: Flares
307,SPD: Solar-stellar Connection
308,SPD: PSP Science
309,SPD: Instrumentation
310,SPD: DKIST Science
311,SPD: Solar Orbiter Science
312,SPD: Sun-to-Heliosphere Connections
